"","x1","x2","zi1","zi2","total_count"
"164",0.015,0.635,0,8,8
"165",0.015,0.645,0,9,9
"166",0.015,0.655,0,10,10
"167",0.015,0.665,0,5,5
"168",0.015,0.675,0,6,6
"169",0.015,0.685,0,4,4
"170",0.015,0.695,0,7,7
"171",0.015,0.705,0,6,6
"172",0.015,0.715,0,1,1
"173",0.015,0.725,0,7,7
"174",0.015,0.735,0,7,7
"175",0.015,0.745,0,5,5
"176",0.015,0.755,0,5,5
"177",0.015,0.765,0,5,5
"178",0.015,0.775,0,8,8
"179",0.015,0.785,0,5,5
"180",0.015,0.795,0,5,5
"181",0.015,0.805,0,1,1
"182",0.015,0.815,0,7,7
"183",0.015,0.825,0,6,6
"184",0.015,0.835,0,5,5
"185",0.015,0.845,0,1,1
"186",0.015,0.855,0,2,2
"187",0.015,0.865,0,3,3
"188",0.015,0.875,0,1,1
"189",0.015,0.885,0,8,8
"190",0.015,0.895,0,6,6
"191",0.015,0.905,0,1,1
"192",0.015,0.915,0,1,1
"193",0.015,0.925,0,1,1
"194",0.015,0.935,0,6,6
"195",0.015,0.945,0,4,4
"196",0.015,0.955,0,2,2
"197",0.015,0.965,0,1,1
"198",0.015,0.975,0,4,4
"199",0.015,0.985,0,1,1
"200",0.015,0.995,0,1,1
"201",0.025,0.005,10,105,115
"202",0.025,0.015,5,83,88
"203",0.025,0.025,0,98,98
"204",0.025,0.035,1,63,64
"205",0.025,0.045,0,72,72
"206",0.025,0.055,0,74,74
"207",0.025,0.065,0,80,80
"208",0.025,0.075,0,72,72
"209",0.025,0.085,0,56,56
"210",0.025,0.095,0,58,58
"211",0.025,0.105,0,52,52
"212",0.025,0.115,0,52,52
"213",0.025,0.125,0,46,46
"214",0.025,0.135,0,41,41
"215",0.025,0.145,0,39,39
"216",0.025,0.155,0,33,33
"217",0.025,0.165,0,30,30
"218",0.025,0.175,0,34,34
"219",0.025,0.185,0,37,37
"220",0.025,0.195,0,19,19
"221",0.025,0.205,0,25,25
"222",0.025,0.215,0,28,28
"223",0.025,0.225,0,25,25
"224",0.025,0.235,0,16,16
