"","x1","x2","zi1","zi2","total_count"
"1",0.005,0.005,147,66,213
"2",0.005,0.015,53,64,117
"3",0.005,0.025,24,59,83
"4",0.005,0.035,6,57,63
"5",0.005,0.045,4,52,56
"6",0.005,0.055,0,46,46
"7",0.005,0.065,1,40,41
"8",0.005,0.075,0,30,30
"9",0.005,0.085,0,39,39
"10",0.005,0.095,0,31,31
"11",0.005,0.105,0,31,31
"12",0.005,0.115,0,23,23
"13",0.005,0.125,0,29,29
"14",0.005,0.135,0,30,30
"15",0.005,0.145,0,36,36
"16",0.005,0.155,0,22,22
"17",0.005,0.165,0,30,30
"18",0.005,0.175,0,19,19
"19",0.005,0.185,0,15,15
"20",0.005,0.195,0,23,23
"21",0.005,0.205,0,21,21
"22",0.005,0.215,0,17,17
"23",0.005,0.225,0,31,31
"24",0.005,0.235,0,17,17
"25",0.005,0.245,0,17,17
"26",0.005,0.255,0,19,19
"27",0.005,0.265,0,11,11
"28",0.005,0.275,0,12,12
"29",0.005,0.285,0,13,13
"30",0.005,0.295,0,6,6
"31",0.005,0.305,0,14,14
"32",0.005,0.315,0,18,18
"33",0.005,0.325,0,11,11
"34",0.005,0.335,0,6,6
"35",0.005,0.345,0,8,8
"36",0.005,0.355,0,17,17
"37",0.005,0.365,0,9,9
"38",0.005,0.375,0,9,9
"39",0.005,0.385,0,7,7
"40",0.005,0.395,0,3,3
"41",0.005,0.405,0,8,8
"42",0.005,0.415,0,11,11
"43",0.005,0.425,0,7,7
"44",0.005,0.435,0,11,11
"45",0.005,0.445,0,10,10
"46",0.005,0.455,0,12,12
"47",0.005,0.465,0,11,11
"48",0.005,0.475,0,3,3
"49",0.005,0.485,0,6,6
"50",0.005,0.495,0,9,9
"51",0.005,0.505,0,13,13
"52",0.005,0.515,0,5,5
"53",0.005,0.525,0,6,6
"54",0.005,0.535,0,5,5
"55",0.005,0.545,0,4,4
"56",0.005,0.555,0,8,8
"57",0.005,0.565,0,5,5
"58",0.005,0.575,0,8,8
"59",0.005,0.585,0,8,8
"60",0.005,0.595,0,3,3
"61",0.005,0.605,0,5,5
"62",0.005,0.615,0,6,6
"63",0.005,0.625,0,6,6
"64",0.005,0.635,0,5,5
"65",0.005,0.645,0,6,6
"66",0.005,0.655,0,4,4
"67",0.005,0.665,0,6,6
"68",0.005,0.675,0,5,5
"69",0.005,0.685,0,3,3
"70",0.005,0.695,0,6,6
"71",0.005,0.705,0,5,5
"72",0.005,0.715,0,3,3
"73",0.005,0.725,0,7,7
"74",0.005,0.735,0,5,5
"75",0.005,0.745,0,1,1
"76",0.005,0.755,0,3,3
"77",0.005,0.765,0,4,4
"78",0.005,0.775,0,3,3
"79",0.005,0.785,0,2,2
"80",0.005,0.795,0,3,3
"81",0.005,0.805,0,5,5
"82",0.005,0.815,0,3,3
"83",0.005,0.825,0,1,1
"84",0.005,0.835,0,3,3
"85",0.005,0.845,0,4,4
"86",0.005,0.855,0,3,3
"87",0.005,0.865,0,5,5
"88",0.005,0.875,0,1,1
"89",0.005,0.885,0,2,2
"90",0.005,0.895,0,2,2
"91",0.005,0.905,0,2,2
"92",0.005,0.915,0,1,1
"93",0.005,0.925,0,1,1
"94",0.005,0.935,0,5,5
"95",0.005,0.945,0,2,2
"96",0.005,0.955,0,1,1
"97",0.005,0.965,0,3,3
"98",0.005,0.975,0,5,5
"99",0.005,0.985,0,0,0
"100",0.005,0.995,0,3,3
"101",0.015,0.005,156,69,225
"102",0.015,0.015,65,79,144
"103",0.015,0.025,27,52,79
"104",0.015,0.035,10,67,77
"105",0.015,0.045,1,65,66
"106",0.015,0.055,1,61,62
"107",0.015,0.065,0,65,65
"108",0.015,0.075,0,66,66
"109",0.015,0.085,0,34,34
"110",0.015,0.095,1,45,46
"111",0.015,0.105,0,53,53
"112",0.015,0.115,0,33,33
"113",0.015,0.125,0,31,31
"114",0.015,0.135,0,41,41
"115",0.015,0.145,0,29,29
"116",0.015,0.155,0,32,32
"117",0.015,0.165,0,28,28
"118",0.015,0.175,0,23,23
"119",0.015,0.185,0,24,24
"120",0.015,0.195,0,23,23
"121",0.015,0.205,0,20,20
"122",0.015,0.215,0,21,21
"123",0.015,0.225,0,24,24
"124",0.015,0.235,0,25,25
"125",0.015,0.245,0,15,15
"126",0.015,0.255,0,14,14
"127",0.015,0.265,0,19,19
"128",0.015,0.275,0,23,23
"129",0.015,0.285,0,14,14
