"","x1","x2","zi1","zi2","total_count"
"1",0.005,0.005,53,357,410
"2",0.005,0.015,29,280,309
"3",0.005,0.025,8,211,219
"4",0.005,0.035,8,160,168
"5",0.005,0.045,4,135,139
"6",0.005,0.055,0,135,135
"7",0.005,0.065,1,96,97
"8",0.005,0.075,0,78,78
"9",0.005,0.085,0,65,65
"10",0.005,0.095,0,65,65
"11",0.005,0.105,0,48,48
"12",0.005,0.115,1,42,43
"13",0.005,0.125,0,41,41
"14",0.005,0.135,0,48,48
"15",0.005,0.145,0,34,34
"16",0.005,0.155,0,32,32
"17",0.005,0.165,0,36,36
"18",0.005,0.175,0,22,22
"19",0.005,0.185,0,25,25
"20",0.005,0.195,0,28,28
"21",0.005,0.205,0,21,21
"22",0.005,0.215,0,17,17
"23",0.005,0.225,0,19,19
"24",0.005,0.235,0,12,12
"25",0.005,0.245,0,13,13
"26",0.005,0.255,0,15,15
"27",0.005,0.265,0,14,14
"28",0.005,0.275,0,14,14
"29",0.005,0.285,0,8,8
"30",0.005,0.295,0,10,10
"31",0.005,0.305,0,10,10
"32",0.005,0.315,0,8,8
"33",0.005,0.325,0,6,6
"34",0.005,0.335,0,6,6
"35",0.005,0.345,0,16,16
"36",0.005,0.355,0,6,6
"37",0.005,0.365,0,9,9
"38",0.005,0.375,0,8,8
"39",0.005,0.385,0,8,8
"40",0.005,0.395,0,8,8
"41",0.005,0.405,0,4,4
"42",0.005,0.415,0,5,5
"43",0.005,0.425,0,5,5
"44",0.005,0.435,0,8,8
"45",0.005,0.445,0,7,7
"46",0.005,0.455,0,4,4
"47",0.005,0.465,0,6,6
"48",0.005,0.475,0,8,8
"49",0.005,0.485,0,6,6
"50",0.005,0.495,0,7,7
"51",0.005,0.505,0,3,3
"52",0.005,0.515,0,5,5
"53",0.005,0.525,0,2,2
"54",0.005,0.535,0,0,0
"55",0.005,0.545,0,2,2
"56",0.005,0.555,0,3,3
"57",0.005,0.565,0,2,2
"58",0.005,0.575,0,3,3
"59",0.005,0.585,0,5,5
"60",0.005,0.595,0,6,6
"61",0.005,0.605,0,1,1
"62",0.005,0.615,0,1,1
"63",0.005,0.625,0,3,3
"64",0.005,0.635,0,2,2
"65",0.005,0.645,0,4,4
"66",0.005,0.655,0,3,3
"67",0.005,0.665,0,3,3
"68",0.005,0.675,0,0,0
"69",0.005,0.685,0,2,2
"70",0.005,0.695,0,1,1
"71",0.005,0.705,0,2,2
"72",0.005,0.715,0,5,5
"73",0.005,0.725,0,3,3
"74",0.005,0.735,0,2,2
"75",0.005,0.745,0,2,2
"76",0.005,0.755,0,3,3
"77",0.005,0.765,0,0,0
"78",0.005,0.775,0,0,0
"79",0.005,0.785,0,5,5
"80",0.005,0.795,0,4,4
"81",0.005,0.805,0,1,1
"82",0.005,0.815,0,4,4
"83",0.005,0.825,0,2,2
"84",0.005,0.835,0,1,1
"85",0.005,0.845,0,1,1
"86",0.005,0.855,0,4,4
"87",0.005,0.865,0,3,3
"88",0.005,0.875,0,1,1
"89",0.005,0.885,0,1,1
"90",0.005,0.895,0,1,1
"91",0.005,0.905,0,2,2
"92",0.005,0.915,0,1,1
"93",0.005,0.925,0,1,1
"94",0.005,0.935,0,4,4
"95",0.005,0.945,0,0,0
"96",0.005,0.955,0,3,3
"97",0.005,0.965,0,2,2
"98",0.005,0.975,0,1,1
"99",0.005,0.985,0,5,5
"100",0.005,0.995,0,0,0
"101",0.015,0.005,35,384,419
"102",0.015,0.015,26,262,288
"103",0.015,0.025,12,186,198
"104",0.015,0.035,4,144,148
"105",0.015,0.045,3,122,125
"106",0.015,0.055,2,106,108
"107",0.015,0.065,0,74,74
"108",0.015,0.075,0,78,78
"109",0.015,0.085,0,75,75
"110",0.015,0.095,0,57,57
"111",0.015,0.105,0,57,57
"112",0.015,0.115,0,63,63
"113",0.015,0.125,0,33,33
"114",0.015,0.135,0,30,30
"115",0.015,0.145,0,31,31
"116",0.015,0.155,0,33,33
"117",0.015,0.165,0,25,25
"118",0.015,0.175,0,19,19
"119",0.015,0.185,0,19,19
"120",0.015,0.195,0,19,19
"121",0.015,0.205,0,14,14
"122",0.015,0.215,0,15,15
"123",0.015,0.225,0,11,11
"124",0.015,0.235,0,10,10
"125",0.015,0.245,0,13,13
"126",0.015,0.255,0,17,17
"127",0.015,0.265,0,15,15
"128",0.015,0.275,0,8,8
"129",0.015,0.285,0,14,14
"130",0.015,0.295,0,13,13
"131",0.015,0.305,0,8,8
"132",0.015,0.315,0,12,12
"133",0.015,0.325,0,6,6
"134",0.015,0.335,0,13,13
"135",0.015,0.345,0,7,7
"136",0.015,0.355,0,7,7
"137",0.015,0.365,0,6,6
"138",0.015,0.375,0,12,12
"139",0.015,0.385,0,6,6
"140",0.015,0.395,0,9,9
"141",0.015,0.405,0,5,5
"142",0.015,0.415,0,3,3
"143",0.015,0.425,0,12,12
"144",0.015,0.435,0,2,2
"145",0.015,0.445,0,3,3
"146",0.015,0.455,0,4,4
"147",0.015,0.465,0,4,4
"148",0.015,0.475,0,4,4
"149",0.015,0.485,0,5,5
"150",0.015,0.495,0,4,4
"151",0.015,0.505,0,0,0
"152",0.015,0.515,0,8,8
"153",0.015,0.525,0,5,5
"154",0.015,0.535,0,4,4
"155",0.015,0.545,0,3,3
"156",0.015,0.555,0,5,5
"157",0.015,0.565,0,5,5
"158",0.015,0.575,0,2,2
"159",0.015,0.585,0,5,5
"160",0.015,0.595,0,1,1
"161",0.015,0.605,0,7,7
"162",0.015,0.615,0,5,5
"163",0.015,0.625,0,6,6
"164",0.015,0.635,0,2,2
"165",0.015,0.645,0,3,3
"166",0.015,0.655,0,1,1
"167",0.015,0.665,0,2,2
"168",0.015,0.675,0,2,2
"169",0.015,0.685,0,1,1
"170",0.015,0.695,0,5,5
"171",0.015,0.705,0,3,3
"172",0.015,0.715,0,2,2
"173",0.015,0.725,0,4,4
"174",0.015,0.735,0,1,1
"175",0.015,0.745,0,1,1
"176",0.015,0.755,0,0,0
"177",0.015,0.765,0,3,3
"178",0.015,0.775,0,0,0
"179",0.015,0.785,0,4,4
"180",0.015,0.795,0,1,1
"181",0.015,0.805,0,0,0
"182",0.015,0.815,0,1,1
"183",0.015,0.825,0,2,2
"184",0.015,0.835,0,0,0
"185",0.015,0.845,0,3,3
"186",0.015,0.855,0,0,0
"187",0.015,0.865,0,0,0
"188",0.015,0.875,0,1,1
"189",0.015,0.885,0,3,3
"190",0.015,0.895,0,1,1
"191",0.015,0.905,0,4,4
"192",0.015,0.915,0,1,1
"193",0.015,0.925,0,4,4
"194",0.015,0.935,0,0,0
"195",0.015,0.945,0,1,1
"196",0.015,0.955,0,0,0
"197",0.015,0.965,0,2,2
"198",0.015,0.975,0,1,1
"199",0.015,0.985,0,0,0
"200",0.015,0.995,0,1,1
"201",0.025,0.005,43,353,396
"202",0.025,0.015,24,281,305
"203",0.025,0.025,15,185,200
"204",0.025,0.035,10,177,187
"205",0.025,0.045,6,115,121
"206",0.025,0.055,1,83,84
"207",0.025,0.065,0,101,101
"208",0.025,0.075,2,92,94
"209",0.025,0.085,0,69,69
"210",0.025,0.095,1,43,44
"211",0.025,0.105,0,52,52
"212",0.025,0.115,0,49,49
"213",0.025,0.125,0,39,39
"214",0.025,0.135,0,30,30
"215",0.025,0.145,0,29,29
"216",0.025,0.155,0,28,28
"217",0.025,0.165,0,27,27
"218",0.025,0.175,0,19,19
"219",0.025,0.185,0,21,21
"220",0.025,0.195,0,10,10
"221",0.025,0.205,0,24,24
"222",0.025,0.215,0,15,15
"223",0.025,0.225,0,16,16
