"","x1","x2","zi1","zi2","total_count"
"1",0.005,0.005,27,195,222
"2",0.005,0.015,15,176,191
"3",0.005,0.025,4,161,165
"4",0.005,0.035,0,136,136
"5",0.005,0.045,0,130,130
"6",0.005,0.055,0,106,106
"7",0.005,0.065,0,94,94
"8",0.005,0.075,0,111,111
"9",0.005,0.085,0,91,91
"10",0.005,0.095,0,77,77
"11",0.005,0.105,0,65,65
"12",0.005,0.115,0,53,53
"13",0.005,0.125,0,63,63
"14",0.005,0.135,0,49,49
"15",0.005,0.145,0,42,42
"16",0.005,0.155,0,39,39
"17",0.005,0.165,0,52,52
"18",0.005,0.175,0,42,42
"19",0.005,0.185,0,36,36
"20",0.005,0.195,0,34,34
"21",0.005,0.205,0,31,31
"22",0.005,0.215,0,30,30
"23",0.005,0.225,0,31,31
"24",0.005,0.235,0,29,29
"25",0.005,0.245,0,21,21
"26",0.005,0.255,0,25,25
"27",0.005,0.265,0,15,15
"28",0.005,0.275,0,18,18
"29",0.005,0.285,0,20,20
"30",0.005,0.295,0,17,17
"31",0.005,0.305,0,16,16
"32",0.005,0.315,0,14,14
"33",0.005,0.325,0,11,11
"34",0.005,0.335,0,10,10
"35",0.005,0.345,0,20,20
"36",0.005,0.355,0,7,7
"37",0.005,0.365,0,15,15
"38",0.005,0.375,0,12,12
"39",0.005,0.385,0,10,10
"40",0.005,0.395,0,8,8
"41",0.005,0.405,0,13,13
"42",0.005,0.415,0,9,9
"43",0.005,0.425,0,12,12
"44",0.005,0.435,0,11,11
"45",0.005,0.445,0,9,9
"46",0.005,0.455,0,9,9
"47",0.005,0.465,0,1,1
"48",0.005,0.475,0,9,9
"49",0.005,0.485,0,4,4
"50",0.005,0.495,0,9,9
"51",0.005,0.505,0,5,5
"52",0.005,0.515,0,4,4
"53",0.005,0.525,0,4,4
"54",0.005,0.535,0,8,8
"55",0.005,0.545,0,1,1
"56",0.005,0.555,0,4,4
"57",0.005,0.565,0,7,7
"58",0.005,0.575,0,5,5
"59",0.005,0.585,0,4,4
"60",0.005,0.595,0,3,3
"61",0.005,0.605,0,6,6
"62",0.005,0.615,0,6,6
"63",0.005,0.625,0,3,3
"64",0.005,0.635,0,6,6
"65",0.005,0.645,0,4,4
"66",0.005,0.655,0,3,3
"67",0.005,0.665,0,3,3
"68",0.005,0.675,0,7,7
"69",0.005,0.685,0,3,3
"70",0.005,0.695,0,5,5
"71",0.005,0.705,0,1,1
"72",0.005,0.715,0,4,4
"73",0.005,0.725,0,4,4
"74",0.005,0.735,0,6,6
"75",0.005,0.745,0,1,1
"76",0.005,0.755,0,5,5
"77",0.005,0.765,0,1,1
"78",0.005,0.775,0,0,0
"79",0.005,0.785,0,0,0
"80",0.005,0.795,0,5,5
"81",0.005,0.805,0,3,3
"82",0.005,0.815,0,2,2
"83",0.005,0.825,0,1,1
"84",0.005,0.835,0,1,1
"85",0.005,0.845,0,2,2
"86",0.005,0.855,0,1,1
"87",0.005,0.865,0,2,2
"88",0.005,0.875,0,2,2
"89",0.005,0.885,0,3,3
"90",0.005,0.895,0,3,3
"91",0.005,0.905,0,3,3
"92",0.005,0.915,0,4,4
"93",0.005,0.925,0,2,2
"94",0.005,0.935,0,2,2
"95",0.005,0.945,0,1,1
"96",0.005,0.955,0,0,0
"97",0.005,0.965,0,0,0
"98",0.005,0.975,0,0,0
"99",0.005,0.985,0,0,0
"100",0.005,0.995,0,3,3
"101",0.015,0.005,47,230,277
"102",0.015,0.015,8,159,167
"103",0.015,0.025,9,149,158
"104",0.015,0.035,3,122,125
"105",0.015,0.045,1,97,98
"106",0.015,0.055,0,105,105
"107",0.015,0.065,1,90,91
"108",0.015,0.075,0,91,91
"109",0.015,0.085,0,69,69
"110",0.015,0.095,0,63,63
"111",0.015,0.105,0,67,67
"112",0.015,0.115,0,61,61
"113",0.015,0.125,0,48,48
"114",0.015,0.135,0,62,62
"115",0.015,0.145,0,54,54
"116",0.015,0.155,0,47,47
"117",0.015,0.165,0,30,30
"118",0.015,0.175,0,32,32
"119",0.015,0.185,0,40,40
"120",0.015,0.195,0,31,31
"121",0.015,0.205,0,28,28
"122",0.015,0.215,0,18,18
"123",0.015,0.225,0,27,27
"124",0.015,0.235,0,15,15
"125",0.015,0.245,0,18,18
"126",0.015,0.255,0,12,12
"127",0.015,0.265,0,16,16
"128",0.015,0.275,0,18,18
"129",0.015,0.285,0,23,23
"130",0.015,0.295,0,14,14
"131",0.015,0.305,0,24,24
"132",0.015,0.315,0,13,13
"133",0.015,0.325,0,17,17
"134",0.015,0.335,0,13,13
"135",0.015,0.345,0,13,13
"136",0.015,0.355,0,7,7
"137",0.015,0.365,0,18,18
"138",0.015,0.375,0,12,12
"139",0.015,0.385,0,10,10
"140",0.015,0.395,0,11,11
"141",0.015,0.405,0,7,7
"142",0.015,0.415,0,7,7
"143",0.015,0.425,0,8,8
"144",0.015,0.435,0,6,6
"145",0.015,0.445,0,4,4
"146",0.015,0.455,0,12,12
"147",0.015,0.465,0,6,6
"148",0.015,0.475,0,8,8
"149",0.015,0.485,0,9,9
"150",0.015,0.495,0,8,8
"151",0.015,0.505,0,8,8
"152",0.015,0.515,0,12,12
"153",0.015,0.525,0,5,5
"154",0.015,0.535,0,4,4
"155",0.015,0.545,0,5,5
"156",0.015,0.555,0,6,6
"157",0.015,0.565,0,5,5
"158",0.015,0.575,0,5,5
"159",0.015,0.585,0,1,1
"160",0.015,0.595,0,4,4
"161",0.015,0.605,0,3,3
"162",0.015,0.615,0,2,2
"163",0.015,0.625,0,5,5
"164",0.015,0.635,0,0,0
"165",0.015,0.645,0,5,5
"166",0.015,0.655,0,6,6
"167",0.015,0.665,0,5,5
"168",0.015,0.675,0,1,1
"169",0.015,0.685,0,3,3
"170",0.015,0.695,0,2,2
"171",0.015,0.705,0,1,1
"172",0.015,0.715,0,0,0
"173",0.015,0.725,0,4,4
"174",0.015,0.735,0,3,3
"175",0.015,0.745,0,5,5
"176",0.015,0.755,0,3,3
"177",0.015,0.765,0,4,4
"178",0.015,0.775,0,2,2
"179",0.015,0.785,0,2,2
"180",0.015,0.795,0,4,4
"181",0.015,0.805,0,1,1
"182",0.015,0.815,0,4,4
"183",0.015,0.825,0,1,1
"184",0.015,0.835,0,3,3
"185",0.015,0.845,0,1,1
"186",0.015,0.855,0,4,4
"187",0.015,0.865,0,3,3
"188",0.015,0.875,0,1,1
"189",0.015,0.885,0,0,0
"190",0.015,0.895,0,1,1
"191",0.015,0.905,0,2,2
"192",0.015,0.915,0,0,0
"193",0.015,0.925,0,0,0
