"","x1","x2","zi1","zi2","total_count"
"1",0.005,0.005,90,102,192
"2",0.005,0.015,40,94,134
"3",0.005,0.025,19,92,111
"4",0.005,0.035,7,82,89
"5",0.005,0.045,1,78,79
"6",0.005,0.055,1,69,70
"7",0.005,0.065,0,61,61
"8",0.005,0.075,0,62,62
"9",0.005,0.085,0,59,59
"10",0.005,0.095,0,68,68
"11",0.005,0.105,0,44,44
"12",0.005,0.115,0,47,47
"13",0.005,0.125,0,60,60
"14",0.005,0.135,0,48,48
"15",0.005,0.145,0,36,36
"16",0.005,0.155,0,47,47
"17",0.005,0.165,0,46,46
"18",0.005,0.175,0,43,43
"19",0.005,0.185,0,32,32
"20",0.005,0.195,0,39,39
"21",0.005,0.205,0,36,36
"22",0.005,0.215,0,25,25
"23",0.005,0.225,0,41,41
"24",0.005,0.235,0,38,38
"25",0.005,0.245,0,32,32
"26",0.005,0.255,0,25,25
"27",0.005,0.265,0,21,21
"28",0.005,0.275,0,27,27
"29",0.005,0.285,0,25,25
"30",0.005,0.295,0,19,19
"31",0.005,0.305,0,26,26
"32",0.005,0.315,0,27,27
"33",0.005,0.325,0,16,16
"34",0.005,0.335,0,23,23
"35",0.005,0.345,0,16,16
"36",0.005,0.355,0,16,16
"37",0.005,0.365,0,17,17
"38",0.005,0.375,0,21,21
"39",0.005,0.385,0,21,21
"40",0.005,0.395,0,17,17
"41",0.005,0.405,0,24,24
"42",0.005,0.415,0,27,27
"43",0.005,0.425,0,17,17
"44",0.005,0.435,0,21,21
"45",0.005,0.445,0,22,22
"46",0.005,0.455,0,17,17
"47",0.005,0.465,0,11,11
"48",0.005,0.475,0,15,15
"49",0.005,0.485,0,16,16
"50",0.005,0.495,0,18,18
"51",0.005,0.505,0,18,18
"52",0.005,0.515,0,11,11
"53",0.005,0.525,0,14,14
"54",0.005,0.535,0,18,18
"55",0.005,0.545,0,14,14
"56",0.005,0.555,0,12,12
"57",0.005,0.565,0,10,10
"58",0.005,0.575,0,16,16
"59",0.005,0.585,0,8,8
"60",0.005,0.595,0,10,10
"61",0.005,0.605,0,8,8
"62",0.005,0.615,0,11,11
"63",0.005,0.625,0,10,10
"64",0.005,0.635,0,9,9
"65",0.005,0.645,0,11,11
"66",0.005,0.655,0,10,10
"67",0.005,0.665,0,11,11
"68",0.005,0.675,0,12,12
"69",0.005,0.685,0,12,12
"70",0.005,0.695,0,8,8
"71",0.005,0.705,0,10,10
"72",0.005,0.715,0,7,7
"73",0.005,0.725,0,10,10
"74",0.005,0.735,0,9,9
"75",0.005,0.745,0,8,8
"76",0.005,0.755,0,6,6
"77",0.005,0.765,0,11,11
"78",0.005,0.775,0,11,11
"79",0.005,0.785,0,9,9
"80",0.005,0.795,0,10,10
"81",0.005,0.805,0,6,6
"82",0.005,0.815,0,7,7
"83",0.005,0.825,0,7,7
"84",0.005,0.835,0,9,9
"85",0.005,0.845,0,5,5
"86",0.005,0.855,0,11,11
"87",0.005,0.865,0,6,6
"88",0.005,0.875,0,3,3
"89",0.005,0.885,0,8,8
"90",0.005,0.895,0,6,6
"91",0.005,0.905,0,6,6
"92",0.005,0.915,0,6,6
"93",0.005,0.925,0,3,3
"94",0.005,0.935,0,6,6
"95",0.005,0.945,0,7,7
"96",0.005,0.955,0,6,6
"97",0.005,0.965,0,8,8
"98",0.005,0.975,0,6,6
"99",0.005,0.985,0,6,6
"100",0.005,0.995,0,3,3
"101",0.015,0.005,125,104,229
"102",0.015,0.015,39,82,121
"103",0.015,0.025,17,67,84
"104",0.015,0.035,5,86,91
"105",0.015,0.045,2,90,92
"106",0.015,0.055,0,87,87
"107",0.015,0.065,0,65,65
"108",0.015,0.075,0,76,76
"109",0.015,0.085,0,50,50
"110",0.015,0.095,0,61,61
"111",0.015,0.105,0,49,49
"112",0.015,0.115,0,42,42
"113",0.015,0.125,0,49,49
"114",0.015,0.135,0,45,45
"115",0.015,0.145,0,54,54
"116",0.015,0.155,0,32,32
"117",0.015,0.165,0,29,29
"118",0.015,0.175,0,30,30
"119",0.015,0.185,0,30,30
"120",0.015,0.195,0,30,30
"121",0.015,0.205,0,37,37
"122",0.015,0.215,0,30,30
"123",0.015,0.225,0,26,26
"124",0.015,0.235,0,25,25
"125",0.015,0.245,0,28,28
"126",0.015,0.255,0,31,31
"127",0.015,0.265,0,24,24
"128",0.015,0.275,0,20,20
"129",0.015,0.285,0,25,25
"130",0.015,0.295,0,35,35
"131",0.015,0.305,0,25,25
"132",0.015,0.315,0,25,25
"133",0.015,0.325,0,21,21
"134",0.015,0.335,0,22,22
"135",0.015,0.345,0,13,13
"136",0.015,0.355,0,22,22
"137",0.015,0.365,0,17,17
"138",0.015,0.375,0,11,11
"139",0.015,0.385,0,19,19
"140",0.015,0.395,0,18,18
"141",0.015,0.405,0,13,13
"142",0.015,0.415,0,26,26
"143",0.015,0.425,0,18,18
"144",0.015,0.435,0,17,17
"145",0.015,0.445,0,14,14
"146",0.015,0.455,0,12,12
"147",0.015,0.465,0,9,9
"148",0.015,0.475,0,13,13
"149",0.015,0.485,0,20,20
"150",0.015,0.495,0,11,11
"151",0.015,0.505,0,12,12
"152",0.015,0.515,0,10,10
